,MaxTemperatureF,MeanTemperatureF,MinTemperatureF,MaxDewPointF,MeanDewPointF,MinDewpointF,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressureIn,MeanSeaLevelPressureIn,MinSeaLevelPressureIn,MaxVisibilityMiles,MeanVisibilityMiles,MinVisibilityMiles,MaxWindSpeedMPH,MeanWindSpeedMPH,MaxGustSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees<br/>
2014-08-01,72,66,59,58,57,57,90,76,61,29.93,29.9,29.87,10,10,10,24,15,29,0.00,3,,297<br />
2014-08-02,69,64,59,57,56,55,93,78,63,29.96,29.93,29.91,10,10,10,27,16,33,0.00,4,,286<br />
2014-08-03,70,65,60,57,56,55,84,73,61,29.98,29.95,29.93,10,10,10,22,11,28,0.00,6,,254<br />
2014-08-04,75,68,60,59,57,55,84,73,61,30.01,29.97,29.94,10,10,10,16,9,22,0.00,6,,261<br />
2014-08-05,74,68,62,62,58,57,84,75,66,30.08,30.03,30.0,10,10,10,23,11,26,0.00,6,,296<br />
2014-08-06,77,69,60,62,59,57,90,75,60,30.03,30.0,29.95,10,10,10,23,13,28,T,6,Rain,295<br />
2014-08-07,70,65,60,58,57,56,90,77,63,29.98,29.96,29.91,10,10,10,26,12,30,0.00,4,,285<br />
2014-08-08,74,67,60,56,55,54,84,69,53,29.94,29.91,29.88,10,10,10,22,11,25,0.00,2,,292<br />
2014-08-09,70,65,59,56,55,54,87,74,61,30.0,29.96,29.91,10,10,10,25,14,29,0.00,5,,260<br />
2014-08-10,77,69,60,60,57,55,84,69,54,30.01,29.97,29.93,10,10,10,18,8,22,0.00,5,,235<br />
2014-08-11,79,70,61,60,57,56,84,66,48,29.96,29.94,29.89,10,10,10,20,8,26,0.00,4,,285<br />
2014-08-12,77,70,62,59,57,55,84,69,54,29.99,29.95,29.93,10,10,10,22,11,26,0.00,5,,249<br />
2014-08-13,77,69,61,59,57,55,90,72,54,30.01,29.97,29.94,10,10,10,28,13,32,0.00,3,,285<br />
2014-08-14,74,67,60,59,58,57,90,76,61,29.98,29.94,29.9,10,10,10,24,12,28,0.00,3,,298<br />
2014-08-15,74,67,60,61,58,55,90,74,57,30.01,29.97,29.94,10,10,10,24,11,28,0.00,3,,293<br />
2014-08-16,73,66,59,61,58,57,97,79,61,30.05,30.01,29.96,10,10,10,25,11,29,0.00,4,,304<br />
2014-08-17,72,65,57,59,57,55,97,79,61,30.04,29.99,29.93,10,10,10,28,12,31,0.00,5,,287<br />
2014-08-18,70,65,60,58,57,56,90,78,66,29.93,29.88,29.84,10,10,7,24,11,32,0.00,6,,265<br />
2014-08-19,75,68,60,59,58,57,90,74,57,29.88,29.85,29.81,10,10,8,17,7,25,0.00,5,,212<br />
2014-08-20,73,68,62,59,58,57,84,73,61,29.94,29.9,29.86,10,10,10,24,9,29,0.00,3,,204<br />
2014-08-21,74,68,61,61,59,57,97,81,64,29.97,29.93,29.91,10,10,10,25,10,30,0.00,2,,275<br />
2014-08-22,77,68,59,61,58,55,97,77,56,29.95,29.93,29.91,10,10,10,25,9,30,0.00,2,,276<br />
2014-08-23,75,66,57,59,56,54,93,72,50,29.96,29.91,29.86,10,10,10,14,6,24,0.00,2,,281<br />
2014-08-24,75,67,58,59,56,54,87,72,57,29.91,29.87,29.83,10,10,10,22,10,25,0.00,3,,264<br />
2014-08-25,74,68,61,57,56,54,84,69,53,29.96,29.89,29.86,10,10,10,20,8,25,0.00,4,,218<br />
2014-08-26,74,67,59,58,56,54,84,71,57,30.02,29.98,29.95,10,10,10,23,11,28,0.00,1,,283<br />
2014-08-27,74,67,60,61,59,58,90,76,61,30.07,30.03,30.0,10,10,10,26,12,30,0.00,1,,295<br />
2014-08-28,74,67,59,61,59,57,97,79,61,30.08,30.03,29.94,10,10,10,30,12,33,0.00,3,,293<br />
